CALLS;DEFINED_FOR;TYPE;AC_MODEL;ADEP;ADES;TIME;DEP_TIME;EFL;GOTO;SSR;NSSR;SSR_MODE_OUT;C_MODE;FMS;ACAS;WTC;ADS;MASPS;S_MODE;MODE_S_ADDRESS;REGISTRATION_NUMBER;NSAP_SEL;DATALINK;FLIGHT_RULES;FLRANGE;FLTYP;FLAG1;FLAG2;FLAG3;PATROL;FORCED_CENTRE;FORCED_SECTOR;AIR_MANAGEMENT;ADS_B;ADS_C;ASAS;ASAS_SEQ;ASAS_CROSS;ROUTE_NAME;RFL;TAS_SPEED;SID;STAR;ENTRY_POINT;NEXT_POINT;HEADING;RVSM;SPEED_MODE;CWP_INSTRUCTIONS;FIRST_GROUND_DESIGN;RTA_POINT;RTA_TIME;FLAG6;FLAG7;FLAG8;FLAG9;FLAG10;AIRCRAFT_VERSION;PAYLOAD;FUEL_RESERVE;APPROACH_EQUIPMENT;WTC_RECAT_EU;HOLD_NAME;HOLD_DURATION;POINTi;POINTi;
ICE213;BOTH;B752;B752;EKCH;BIKF;05:50:00;;300;100;2601;;A;Y;NON_EQUIPPED;Y;H;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;BRUSI-THR01;350;459;;3NNASBU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_C;;0;MOXAL;NASBU;
WOW76P;BOTH;A321;A321;EDDF;BIKF;05:53:00;;350;100;0001;;A;Y;NON_EQUIPPED;Y;M;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;RAPAX-THR01;320;430;;2NBASLU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_D;;0;BREKI;BASLU;
ICE343;BOTH;B752;B752;EFHK;BIKF;05:55:00;;350;100;0002;;A;Y;NON_EQUIPPED;Y;H;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;BRUSI-THR01;350;466;;3NNASBU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_E;;0;MOXAL;NASBU;
ICE53B;BOTH;B752;B752;EGCC;BIKF;05:58:00;;330;100;0003;;A;Y;NON_EQUIPPED;Y;H;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;RAPAX-THR01;410;466;;2NBASLU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_B;;0;BREKI;BASLU;
WOW1;BOTH;A321;A321;BIKF;LFPG;06:00:00;;;290;4354;;A;Y;FMS_3D;Y;M;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-PETUX;350;440;1APIXUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_E;;0;PIXUM;PETUX;
WZZ1897;BOTH;A320;A320;EPWR;BIKF;06:00:00;;370;100;0004;;A;Y;NON_EQUIPPED;Y;M;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;ROSTI-THR01;310;423;;2NASRUN;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_E;;0;ROSTI;ASRUN;
ICE521;BOTH;B752;B752;EDDF;BIKF;06:03:00;;310;100;0006;;A;Y;NON_EQUIPPED;Y;H;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;BRUSI-THR01;350;450;;3NNASBU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_C;;0;MOXAL;NASBU;
WOW4;BOTH;A321;A321;BIKF;EDDB;06:03:00;;;290;4311;;A;Y;FMS_3D;Y;M;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-MOXAL;350;433;3AOSKUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_E;;0;OSKUM;MOXAL;
WOW6F;BOTH;A321;A321;EIDW;BIKF;06:05:00;;320;100;0015;;A;Y;NON_EQUIPPED;Y;M;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;RAPAX-THR01;320;422;;2NBASLU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_E;;0;BREKI;BASLU;
WOW76E;BOTH;A321;A321;BIKF;EDDF;06:06:00;;;290;4314;;A;Y;FMS_3D;Y;M;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-PETUX;350;450;1APIXUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_B;;0;PIXUM;PETUX;
